z (m),Solenoid Bz (T),Quadrupole Bz (T),RF Gun Ez (V/m)
0.000000,-6.499991e-03,0.000000e+00,-1.000000e+00
0.012560,-1.019719e-02,0.000000e+00,-8.993509e-01
0.025120,-1.684934e-02,0.000000e+00,-4.612850e-01
0.037680,-2.934103e-02,0.000000e+00,2.385186e-01
0.050240,-5.477434e-02,0.000000e+00,8.431875e-01
0.062800,-1.071773e-01,0.000000e+00,9.976963e-01
0.075360,-2.105534e-01,0.000000e+00,7.361007e-01
0.087920,-3.798775e-01,0.000000e+00,2.086583e-01
0.100480,-5.843359e-01,0.000000e+00,2.454917e-02
0.113040,-7.583199e-01,0.000000e+00,2.484214e-03
0.125600,-8.718832e-01,0.000000e+00,2.504085e-04
0.138160,-9.358604e-01,0.000000e+00,2.214359e-05
0.150720,-9.695683e-01,0.000000e+00,0.000000e+00
0.163280,-9.873064e-01,0.000000e+00,0.000000e+00
0.175840,-9.962933e-01,0.000000e+00,0.000000e+00
0.188400,-9.999357e-01,0.000000e+00,0.000000e+00
0.200960,-1.000000e+00,0.000000e+00,0.000000e+00
0.213520,-9.963857e-01,0.000000e+00,0.000000e+00
0.226080,-9.863380e-01,0.000000e+00,0.000000e+00
0.238640,-9.645553e-01,0.000000e+00,0.000000e+00
0.251200,-9.213446e-01,0.000000e+00,0.000000e+00
0.263760,-8.387722e-01,0.000000e+00,0.000000e+00
0.276320,-7.000203e-01,0.000000e+00,0.000000e+00
0.288880,-5.054398e-01,0.000000e+00,0.000000e+00
0.301440,-3.064323e-01,0.000000e+00,0.000000e+00
0.314000,-1.629988e-01,0.000000e+00,0.000000e+00
0.326560,-8.298449e-02,0.000000e+00,0.000000e+00
0.339120,-4.398657e-02,0.000000e+00,0.000000e+00
0.351680,-2.486818e-02,0.000000e+00,0.000000e+00
0.364240,-1.516064e-02,0.000000e+00,0.000000e+00
0.376800,-1.005730e-02,0.000000e+00,0.000000e+00
0.389360,-7.130492e-03,0.000000e+00,0.000000e+00
0.401920,-5.171991e-03,0.000000e+00,0.000000e+00
0.414480,-3.760913e-03,0.000000e+00,0.000000e+00
0.427040,-2.970345e-03,0.000000e+00,0.000000e+00
0.439600,-2.181813e-03,0.000000e+00,0.000000e+00
0.452160,-2.104377e-03,0.000000e+00,0.000000e+00
0.464720,-1.580210e-03,0.000000e+00,0.000000e+00
0.477280,-1.375417e-03,0.000000e+00,0.000000e+00
0.489840,-1.046349e-03,0.000000e+00,0.000000e+00
0.502400,-0.000000e+00,0.000000e+00,0.000000e+00
0.514960,-0.000000e+00,0.000000e+00,0.000000e+00
0.527520,-0.000000e+00,0.000000e+00,0.000000e+00
0.540080,-0.000000e+00,0.000000e+00,0.000000e+00
0.552640,-0.000000e+00,0.000000e+00,0.000000e+00
0.565200,-0.000000e+00,0.000000e+00,0.000000e+00
0.577760,-0.000000e+00,0.000000e+00,0.000000e+00
0.590320,-0.000000e+00,0.000000e+00,0.000000e+00
0.602880,-0.000000e+00,0.000000e+00,0.000000e+00
0.615440,-0.000000e+00,0.000000e+00,0.000000e+00
0.628000,-0.000000e+00,0.000000e+00,0.000000e+00
0.640560,-0.000000e+00,0.000000e+00,0.000000e+00
0.653120,-0.000000e+00,0.000000e+00,0.000000e+00
0.665680,-0.000000e+00,0.000000e+00,0.000000e+00
0.678240,-0.000000e+00,0.000000e+00,0.000000e+00
0.690800,-0.000000e+00,0.000000e+00,0.000000e+00
0.703360,-0.000000e+00,0.000000e+00,0.000000e+00
0.715920,-0.000000e+00,0.000000e+00,0.000000e+00
0.728480,-0.000000e+00,0.000000e+00,0.000000e+00
0.741040,-0.000000e+00,0.000000e+00,0.000000e+00
0.753600,-0.000000e+00,0.000000e+00,0.000000e+00
0.766160,-0.000000e+00,0.000000e+00,0.000000e+00
0.778720,-0.000000e+00,0.000000e+00,0.000000e+00
0.791280,-0.000000e+00,0.000000e+00,0.000000e+00
0.803840,-0.000000e+00,0.000000e+00,0.000000e+00
0.816400,-0.000000e+00,0.000000e+00,0.000000e+00
0.828960,-0.000000e+00,0.000000e+00,0.000000e+00
0.841520,-0.000000e+00,0.000000e+00,0.000000e+00
0.854080,-0.000000e+00,0.000000e+00,0.000000e+00
0.866640,-0.000000e+00,0.000000e+00,0.000000e+00
0.879200,-0.000000e+00,0.000000e+00,0.000000e+00
0.891760,-0.000000e+00,0.000000e+00,0.000000e+00
0.904320,-0.000000e+00,0.000000e+00,0.000000e+00
0.916880,-0.000000e+00,0.000000e+00,0.000000e+00
0.929440,-0.000000e+00,0.000000e+00,0.000000e+00
0.942084,-0.000000e+00,0.000000e+00,0.000000e+00
